"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t.SNE"
"1000MFW" 76.88 76.25 77.75 78.88 76 78.12 78.25 76.88 74.38
"500MFW" 76.5 75.88 77.12 78.75 75.5 78.62 77.25 77.5 74
"300MFW" 76.12 75.5 77 78.12 75.75 78.5 78.62 76.5 73.38
"200MFW" 75.88 75 77.88 78.75 75.62 77.62 78.62 77.38 73.38
"100MFW" 75.38 74.62 78.62 79 75.25 77.75 77.25 76.88 72.12
"1000MF4Gram" 77.75 78.38 77.5 79 77.88 78.5 78.5 77.12 75.88
"500MF4Gram" 78.12 78.5 78 78.75 78.25 77.5 79.75 78 75.5
"300MF4Gram" 76.62 76.88 77.75 79.12 76.75 77.5 78.12 77.25 74.88
"200MF4Gram" 74.75 76 77.25 78.62 76.12 78.12 78.38 77.62 73.75
"100MF4Gram" 72.88 73.5 76.25 77 75.12 75.75 75.25 74.62 71.12
"1000WekaWord" 74.12 74.25 75.25 77 75.12 76.5 75.38 72.12 72.25
"500WekaWord" 75.75 75.88 74.38 77 74.75 76.88 73.5 72.75 74.62
"300WekaWord" 74.38 75.5 74.25 77.25 73.62 75.75 74.62 71.88 74.25
"200WekaWord" 73 72.88 73.75 77.62 72.88 73.88 73.25 68.75 71.75
"100WekaWord" 70.38 71 73.25 75.88 71.5 71.88 71.12 67.62 70.62
"859Weka4Gram" 77.12 77.25 78.12 79.25 76.75 78.38 77.88 77.38 74.62
"500Weka4Gram" 76.25 76.75 77.62 78.5 76.5 78.75 77.75 77.62 74.88
"300Weka4Gram" 75.5 77.25 78.25 78.75 77.25 78.88 77.62 77.25 74.75
"200Weka4Gram" 75.5 75.75 77.75 78.62 76.88 78.38 77.38 78.38 75.62
"100Weka4Gram" 75.38 75 78.38 79.88 75.5 77.38 76 76.75 73.75
"810MenexMFW" 75.25 75.12 73.88 77.5 74.5 76.62 77.25 73.12 72.75
"500MenexMFW" 75.5 75.62 76.12 78.75 74.5 76.88 77.5 75.75 72.25
"300MenexMFW" 75.75 75.62 76.88 77.88 75.5 76.75 77.75 76.25 73.5
"200MenexMFW" 75.38 75.62 77.75 78.38 74.38 78 77.88 76.75 72.12
"100MenexMFW" 74.75 74.88 78.12 78.75 75.5 78 77.62 76.38 71.62
