"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t.SNE"
"1000MFW" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0074(2)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0074(1)/tlg0627(1)/tlg4024(1)" "tlg0010(3)/tlg0059(1)/tlg0540(1)" "tlg0028(1)/tlg0059(1)/tlg0540(9)" "tlg0003(1)/tlg0015(1)/tlg0057(1)/tlg0059(1)/tlg0627(2)/tlg4024(1)" "tlg0010(2)/tlg0059(1)/tlg0540(1)" "tlg0028(2)/tlg0059(1)" "tlg0003(1)/tlg0016(1)/tlg0032(3)/tlg0059(1)/tlg0062(1)/tlg0074(5)/tlg0525(1)" "tlg0007(1)/tlg0059(1)/tlg0561(1)/tlg0612(1)/tlg0658(1)"
"500MFW" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0074(2)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0074(1)/tlg0627(1)/tlg4024(1)" "tlg0028(1)/tlg0059(5)" "tlg0028(1)/tlg0059(1)/tlg0540(4)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg4024(1)" "tlg0059(1)/tlg0540(1)/tlg0612(1)/tlg2034(1)" "tlg0028(1)/tlg0059(1)/tlg0540(3)" "tlg0028(1)/tlg0059(1)/tlg0540(4)" "tlg0007(1)/tlg0059(1)/tlg0062(1)/tlg0561(1)/tlg0612(1)/tlg0658(1)"
"300MFW" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0074(2)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0074(1)/tlg0627(1)/tlg4024(1)" "tlg0028(2)/tlg0059(1)/tlg0540(2)" "tlg0028(1)/tlg0059(1)/tlg0540(4)" "tlg0059(2)/tlg0062(1)" "tlg0059(6)" "tlg0028(2)/tlg0059(1)/tlg0540(3)" "tlg0059(1)/tlg0540(4)" "tlg0059(1)/tlg0062(1)/tlg0563(1)/tlg0612(1)/tlg0658(1)/tlg2200(1)"
"200MFW" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0074(2)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0074(1)/tlg0627(1)/tlg4024(1)" "tlg0028(1)/tlg0059(1)/tlg0540(3)" "tlg0028(1)/tlg0059(1)/tlg0540(4)" "tlg0007(1)/tlg0059(1)/tlg0062(14)/tlg0561(1)/tlg0563(1)/tlg0612(1)/tlg0658(1)/tlg9006(1)" "tlg0059(2)" "tlg0028(1)/tlg0059(1)/tlg0540(4)" "tlg0007(1)/tlg0059(1)/tlg0062(1)/tlg0563(1)/tlg0612(1)/tlg0646(1)/tlg2023(1)/tlg2034(2)" "tlg0059(1)/tlg0062(2)/tlg0612(1)"
"100MFW" "tlg0003(1)/tlg0057(1)/tlg0059(1)/tlg4024(1)" "tlg0003(1)/tlg0057(1)/tlg0059(1)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0062(1)/tlg0563(1)/tlg0612(1)/tlg0627(1)/tlg0640(1)/tlg0658(1)/tlg2034(1)/tlg4024(1)" "tlg0032(4)/tlg0059(2)" "tlg0018(2)/tlg0057(1)/tlg0059(1)/tlg0062(2)/tlg0555(1)/tlg0612(1)/tlg0646(1)/tlg1205(1)/tlg1725(1)/tlg2022(1)/tlg4090(1)" "tlg0059(2)" "tlg0059(1)/tlg0062(1)/tlg0612(1)/tlg2200(1)/tlg4024(1)" "tlg0059(1)/tlg0062(14)" "tlg0059(1)/tlg0062(3)/tlg0612(1)/tlg2200(1)"
"1000MF4Gram" "tlg0003(1)/tlg0015(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0074(1)" "tlg0059(1)/tlg0062(15)/tlg0561(1)/tlg0563(1)/tlg0658(1)/tlg4089(1)" "tlg0003(1)/tlg0016(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0074(2)/tlg0627(1)/tlg4024(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0074(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0062(1)/tlg0074(1)/tlg0627(1)/tlg4024(1)" "tlg0059(1)/tlg0540(1)/tlg4024(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0074(1)" "tlg0003(1)/tlg0016(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0074(3)/tlg0525(1)/tlg0627(1)/tlg4024(1)" "tlg0059(1)/tlg0086(1)"
"500MF4Gram" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0062(1)/tlg0074(2)/tlg0525(1)/tlg2021(1)" "tlg0003(1)/tlg0059(1)/tlg0062(1)/tlg0074(2)/tlg0525(1)/tlg2021(1)/tlg4024(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0074(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0074(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0627(1)/tlg4024(1)" "tlg0059(1)/tlg0540(1)" "tlg0059(1)/tlg0062(1)/tlg0627(1)/tlg2022(1)/tlg2200(1)/tlg4024(1)/tlg9006(1)" "tlg0003(1)/tlg0015(1)/tlg0016(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0074(3)/tlg0525(1)/tlg0627(1)/tlg4024(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0062(1)/tlg0074(1)/tlg4024(1)"
"300MF4Gram" "tlg0003(1)/tlg0059(1)/tlg0062(1)/tlg0627(1)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0062(1)/tlg4024(1)" "tlg0003(1)/tlg0032(1)/tlg0059(1)/tlg0074(1)/tlg0627(1)/tlg4024(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0074(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0062(1)/tlg0627(1)/tlg4024(1)" "tlg0059(1)/tlg0062(1)/tlg0066(1)/tlg0540(1)" "tlg0003(1)/tlg0032(1)/tlg0059(1)/tlg0062(2)/tlg0074(1)/tlg0627(1)/tlg4024(1)" "tlg0032(4)/tlg0059(1)/tlg0062(3)/tlg0627(1)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0062(1)/tlg0074(1)/tlg4024(1)"
"200MF4Gram" "tlg0003(1)/tlg0032(3)/tlg0059(1)/tlg0074(1)/tlg0551(1)/tlg4024(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0074(1)/tlg4024(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0074(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0074(1)" "tlg0003(1)/tlg0032(3)/tlg0059(1)/tlg0062(1)/tlg0627(1)/tlg4024(1)" "tlg0003(1)/tlg0015(1)/tlg0032(2)/tlg0059(1)/tlg0062(1)/tlg4024(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)" "tlg0003(1)/tlg0032(2)/tlg0059(1)/tlg0062(2)/tlg0627(1)/tlg4024(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0062(1)/tlg0074(1)/tlg4024(1)"
"100MF4Gram" "tlg0003(1)/tlg0007(1)/tlg0059(1)/tlg0062(2)/tlg0530(1)/tlg0646(1)/tlg2018(1)/tlg2022(1)/tlg2034(2)/tlg2200(1)/tlg4024(1)/tlg4090(1)" "tlg0003(1)/tlg0059(1)/tlg0074(1)/tlg0551(10)/tlg4024(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg4024(1)" "tlg0032(4)/tlg0059(1)" "tlg0003(1)/tlg0059(1)/tlg0062(1)/tlg0627(1)/tlg4024(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0062(1)/tlg4024(1)" "tlg0003(1)/tlg0032(4)/tlg0059(1)/tlg0074(1)" "tlg0003(1)/tlg0015(1)/tlg0059(1)/tlg0062(2)/tlg0066(1)/tlg2021(1)/tlg4024(1)" "tlg0003(1)/tlg0059(1)/tlg0062(1)/tlg0074(1)/tlg4024(1)/tlg9006(1)"
