"Euclidean" "Jaccard" "BurrowsDelta" "EdersSimple" "Cosine" "CosineDelta" "EdersDelta" "ArgamonsDelta" "t.SNE"
"1000MFW" 0 0 0 0 0 0 0 0 0
"500MFW" 0 0 4 0 0 0 0 0 0
"300MFW" 0 0 0 0 1 5 0 0 0
"200MFW" 0 0 0 0 0 1 0 0 0
"100MFW" 0 0 0 1 0 1 0 0 0
"1000MF4Gram" 0 0 0 0 0 0 0 0 0
"500MF4Gram" 0 0 0 0 0 0 0 0 0
"300MF4Gram" 0 0 0 0 0 0 0 0 0
"200MF4Gram" 0 0 0 0 0 0 0 0 0
"100MF4Gram" 0 0 0 0 0 0 0 0 0
"1000WekaWord" 0 0 0 0 0 4 0 0 0
"500WekaWord" 0 0 0 0 0 0 0 7 0
"300WekaWord" 0 0 0 1 1 0 0 0 0
"200WekaWord" 1 0 0 2 0 2 0 1 0
"100WekaWord" 0 1 2 1 1 4 0 5 0
"859Weka4Gram" 0 0 0 0 0 0 0 0 0
"500Weka4Gram" 0 0 0 3 0 0 0 0 0
"300Weka4Gram" 0 0 0 0 0 0 0 0 0
"200Weka4Gram" 0 0 0 0 0 0 0 0 0
"100Weka4Gram" 0 0 0 0 0 0 0 0 0
"810MenexMFW" 0 0 0 0 0 0 0 0 0
"500MenexMFW" 0 0 0 0 0 3 0 0 0
"300MenexMFW" 0 0 0 1 0 0 0 1 0
"200MenexMFW" 0 0 0 0 0 5 0 0 0
"100MenexMFW" 0 0 0 0 0 1 0 0 0
